Brand,Model,Year,Fuel,Transmission,Km,Owner,Price,Location,Engine,Seats
Honda,City 1.5 S AT,2009,Petrol,Automatic,70200,Second,295000.0,Mumbai,1497,5.0
Mercedes-Benz,C-Class 200 CGI,2012,Petrol,Automatic,64800,First,1300000.0,Delhi,1796,5.0
Hyundai,Creta 1.6 SX Plus AT,2016,Diesel,Automatic,73000,First,950000.0,Dehradun,1582,5.0
Mercedes-Benz,E-Class E350 CDI Avantgarde,2012,Diesel,Automatic,72000,Second,1350000.0,Vadodara,2987,5.0
Mercedes-Benz,M-Class ML 350 CDI,2015,Diesel,Automatic,76345,First,2682000.0,Gurgaon,2997,5.0
Maruti Suzuki,Alto 800 Lxi,2017,Petrol,Manual,40564,First,286000.0,Jamshedpur,796,5.0
Hyundai,i20 Magna 1.4 CRDI,2013,Diesel,Manual,98500,First,340000.0,Chandigarh,1336,5.0
Skoda,Rapid Style AT,2020,Petrol,Automatic,46807,First,1125000.0,Bangalore,999,5.0
Tata,Nexon XMA Petrol,2018,Petrol,Automatic,81000,First,580000.0,Valsad,1198,5.0
Maruti Suzuki,Swift DZire VXI,2015,Petrol,Manual,13716,First,495000.0,Pune,1197,5.0
Maruti Suzuki,Swift DZire ZDI,2014,Diesel,Manual,89000,First,550000.0,Chennai,1248,5.0
Kia,Sonet GTX Plus 1.5 AT [2020-2021],2021,Diesel,Automatic,13000,First,1485000.0,Mumbai,1493,5.0
Skoda,Rapid Monte Carlo 1.6 MPI MT,2018,Petrol,Manual,38000,First,885000.0,Bangalore,1598,5.0
Audi,RS5 4.2 Coupe,2012,Petrol,Automatic,25500,Second,3650000.0,Mumbai,4163,5.0
Hyundai,Grand i10 NIOS Magna AMT 1.2 Kappa VTVT,2020,Petrol,Automatic,17000,First,715000.0,Bangalore,1197,5.0
Mercedes-Benz,R-Class R350 4MATIC,2012,Petrol,Automatic,44724,First,2485000.0,Bangalore,3496,7.0
Toyota,Innova 2.4 G 7 STR [2016-2017],2020,Diesel,Manual,24549,Second,2250000.0,Jaipur,2393,7.0
Hyundai,Creta SX Plus 1.6 AT CRDI,2017,Diesel,Automatic,97000,First,1050000.0,Zirakpur,1582,5.0
Toyota,Fortuner 2.8 4x2 AT [2016-2020],2018,Diesel,Automatic,7800,First,3600000.0,Mumbai,2755,7.0
Honda,City 1.5 S MT,2010,Petrol,Manual,78000,First,295000.0,Zirakpur,1497,5.0
Renault,Kwid RXT Opt,2019,Petrol,Manual,55000,First,375000.0,Varanasi,799,5.0
Audi,A6 2.0 TFSi Technology Pack,2021,Petrol,Automatic,20000,UnRegistered Car,7200000.0,Bangalore,1984,5.0
Tata,Safari XZA Plus 6S Adventure New,2021,Diesel,Automatic,13594,First,2395000.0,Bangalore,1956,6.0
Audi,A6 2.0 TDI Premium,2014,Diesel,Automatic,75000,First,1775000.0,Ahmedabad,1968,5.0
Maruti Suzuki,Ritz Vdi BS-IV,2011,Diesel,Manual,65000,First,275000.0,Mumbai,1248,5.0
Honda,Brio EX MT,2014,Petrol,Manual,43037,First,325000.0,Haldwani,1198,5.0
Maruti Suzuki,Swift ZDi,2013,Diesel,Manual,26000,First,425000.0,Delhi,1248,5.0
Mahindra,Scorpio S9 2WD 7 STR,2020,Diesel,Manual,78000,First,1475000.0,Yamunanagar,2179,7.0
Toyota,Innova 2.8 GX AT 7 STR [2016-2020],2018,Diesel,Automatic,115000,First,1580000.0,Delhi,2755,7.0
Honda,Amaze VX CVT 1.2 Petrol,2021,Petrol,Automatic,8700,First,869000.0,Mangalore,1199,5.0
Mercedes-Benz,GLE 250 d,2019,Diesel,Automatic,31000,First,5850000.0,Mumbai,2143,5.0
Jeep,Compass Longitude Plus 2.0 Diesel 4x4 AT,2020,Diesel,Automatic,41736,First,1900000.0,Ahmedabad,1956,5.0
Maserati,Levante Diesel,2017,Diesel,Automatic,40000,Second,9000000.0,Chennai,2979,5.0
Toyota,Fortuner 2.8 4x2 AT [2016-2020],2020,Diesel,Automatic,55000,First,3550000.0,Delhi,2755,7.0
Porsche,Cayenne Turbo,2014,Petrol,Automatic,160000,First,3500000.0,Mumbai,4806,5.0
Toyota,Innova GX 2.4 AT 7 STR,2022,Diesel,Automatic,11000,First,2425000.0,Agra,2393,7.0
BMW,X5 xDrive 30d,2018,Diesel,Automatic,24690,First,5811000.0,Mumbai,2993,7.0
Toyota,Fortuner 3.0 MT,2011,Diesel,Manual,117000,Second,750000.0,Agra,2982,7.0
Audi,Q7 35 TDI Premium + Sunroof,2014,Diesel,Automatic,95000,First,2200000.0,Lucknow,2967,7.0
Maruti Suzuki,Wagon R LXi 1.0 CNG [2019-2020],2019,CNG,Manual,76000,First,520000.0,Kanpur,998,5.0
Maruti Suzuki,Alto VXi (O),2018,Petrol,Manual,18000,First,390000.0,Lucknow,998,5.0
Maruti Suzuki,Ciaz VXi (O),2015,Petrol,Manual,38000,First,540000.0,Mumbai,1373,5.0
Maruti Suzuki,Swift VDi AMT [2018-2019],2018,Diesel,Automatic,43000,First,699000.0,Mumbai,1248,5.0
Hyundai,Verna Fluidic 1.6 CRDi SX,2013,Diesel,Manual,107000,First,484999.0,Chandigarh,1582,5.0
Mercedes-Benz,C-Class C 43 AMG,2021,Petrol,Automatic,13000,First,7500000.0,Delhi,2996,4.0
